municipio,populacao
SANTIAGO DO SUL,1260
LAJEADO GRANDE,1427
PAIAL,1505
PRESIDENTE CASTELLO BRANCO,1568
JARDINOPOLIS,1570
FLOR DO SERTAO,1582
TIGRINHOS,1633
BARRA BONITA,1677
MACIEIRA,1775
MAREMA,1797
SAO MIGUEL DA BOA VISTA,1820
IRATI,1930
ALTO BELA VISTA,1937
IBIAM,1957
CUNHATAI,1962
FREI ROGERIO,2023
ERMO,2063
JUPIA,2101
BOM JESUS DO USTE,2142
SANTA ROSA DE LIMA,2142
OURO VERDE,2217
SANTA HELENA,2223
ARVOREDO,2240
LACERDOPOLIS,2246
PRESIDENTE NEREU,2287
MIRIM DOCE,2309
SAO BERNARDINO,2336
PAINEL,2359
AGUAS FRIAS,2366
BRUNOPOLIS,2420
SANTA TEREZINHA DO PROGRESSO,2428
NOVO HORIZONTE,2442
SUL BRASIL,2461
UNIAO DO USTE,2464
URUPEMA,2465
VARGEM,2477
RIO RUFINO,2483
FORMOSA DO SUL,2510
MATOS COSTA,2520
CAPAO ALTO,2525
CORONEL MARTINS,2549
ABDON BATISTA,2563
PALMEIRA,2627
BANDEIRANTE,2678
BELMONTE,2706
CELSO RAMOS,2728
PERITIBA,2787
SAO BONIFACIO,2838
PLANALTO ALEGRE,2870
GALVAO,2873
RANCHO QUEIMADO,2878
MORRO GRANDE,2893
PRINCESA,2924
IOMER,2945
CHAPADAO DO LAGEADO,2988
BOM JESUS,3010
LEOBERTO LEAL,3041
CERRO NEGRO,3124
SAO MARTINHO,3180
IBICARE,3202
ENTRE RIOS,3203
ATALANTA,3210
ANITAPOLIS,3232
SERRA ALTA,3263
CALMON,3346
ZORTEA,3363
PONTE ALTA DO NORTE,3414
PARAISO,3437
MAJOR GERCINO,3442
BOCAINA DO SUL,3474
ARROIO TRINTA,3550
PINHEIRO PRETO,3555
VARGEAO,3573
CAXAMBU DO SUL,3642
SAO JOAO DO ITAPERIU,3733
BRAO DO TROMBUDO,3743
SALTINHO,3781
PIRATUBA,3854
TREVISO,3929
XAVANTINA,3933
JABORA,3936
WITMARSUM,3965
IRACEMINHA,3976
PEDRAS GRANDES,3976
DOUTOR PEDRINHO,4064
DONA EMMA,4146
PASSOS MAIA,4147
MODELO,4209
ARABUTA,4267
NOVA ITABERABA,4331
ERVAL VELHO,4412
IPIRA,4446
CORDILHEIRA ALTA,4453
VARGEM BONITA,4492
TUNAPOLIS,4543
LINDOIA DO SUL,4563
RIQUEZA,4598
RIO FORTUNA,4611
PONTE ALTA,4682
GUATAMBU,4704
SALTO VELOSO,4718
BOM JARDIM DA SERRA,4743
ROMELANDIA,4786
ANGELINA,4801
VITOR MEIRELES,4979
JOSE BOITEUX,4997
NOVA ERECHIM,5019
GUARUJA DO SUL,5160
BOTUVERA,5246
TIMBE DO SUL,5348
AGRONOMICA,5448
SAO CRISTOVAO DO SUL,5549
ANCHIETA,5638
AURORA,5679
LUZERNA,5685
SAO PEDRO DE ALCANTARA,5823
PETROLANDIA,5937
RIO DO CAMPO,5940
CAIBI,6148
ITA,6169
IMBUIA,6197
RIO DAS ANTAS,6205
BELA VISTA DO TOLDO,6337
VIDAL RAMOS,6338
SAO JOAO DO USTE,6381
AGUAS MORNAS,6469
AGUAS DE CHAPECO,6486
GRAO PARA,6569
LAURENTINO,6970
MELEIRO,7015
CAMPO BELO DO SUL,7016
TREZE DE MAIO,7081
ANITA GARIBALDI,7133
AGUA DOCE,7145
MARACAJA,7293
OURO,7295
SAO JOAO DO SUL,7297
PRAIA GRANDE,7319
TROMBUDO CENTRAL,7360
PALMA SOLA,7423
RIO DO USTE,7489
PAULO LOPES,7494
IPUAU,7514
IPUMIRIM,7593
SALETE,7642
TREZE TILIAS,7840
TIMBO GRANDE,7877
ASCURRA,7934
MAJOR VIEIRA,8103
DESCANSO,8250
MONTE CASTELO,8275
SAO JOSE DO CERRITO,8295
SANTA ROSA DO SUL,8358
ANTONIO CARLOS,8513
CAMPO ER,8526
ARMAZEM,8674
TANGARA,8676
SANTA TEREZINHA,8787
PASSO DE TORRES,8823
IPORA DO USTE,8996
SAO DOMINGOS,9445
SAUDADES,9745
MONTE CARLO,9866
QUILOMBO,9887
BOM RETIRO,9966
CORONEL FREITAS,9981
ALFREDO WAGNER,10036
GUARACIABA,10090
PESCARIA BRAVA,10091
IMARUI,10135
JACINTO MACHADO,10416
IRANI,10419
FAXINAL DOS GUEDES,10667
APIUNA,10743
BALNEARIO BARRA DO SUL,10795
CATANDUVAS,10861
AGROLANDIA,10864
BALNEARIO GAIVOTA,10979
CUNHA PORA,11086
IRINEOPOLIS,11222
URUBICI,11235
SAO CARLOS,11281
GRAVATAL,11501
RODEIO,11551
PONTE SERRADA,11593
BENEDITO NOVO,11652
RIO DOS CEDROS,11676
MONDAI,11742
CAMPO ALEGRE,11978
LEBON REGIS,12107
LONTRAS,12130
CANELINHA,12240
SANGAO,12678
BALNEARIO RINCAO,12760
CORREIA PINTO,12795
LUIZ ALVES,12859
TURVO,12899
BALNEARIO ARROIO DO SILVA,13071
SAO LUDGERO,13410
SAO JOSE DO CEDRO,13829
SIDEROPOLIS,14007
ILHOTA,14184
GOVERNADOR CELSO RAMOS,14471
NOVA TRENTO,14549
NOVA VENEZA,15166
LAURO MULLER,15244
DIONISIO CERQUEIRA,15498
CORUPA,15909
PALMITOS,16169
COCAL DO SUL,16684
SANTA CECILIA,16830
ITAPIRANGA,16872
MASSARANDUBA,16916
POUSO REDONDO,17453
PRESIDENTE GETULIO,17471
SEARA,17541
MORRO DA FUMAA,17796
ABELARDO LUZ,17904
GARUVA,18145
TAIO,18395
OTACILIO COSTA,18744
IBIRAMA,18950
TRS BARRAS,19275
PAPANDUVA,19320
BOMBINHAS,19769
JAGUARUNA,20024
PINHALZINHO,20313
ITAPOA,20576
URUSSANGA,21268
SCHRUDER,21365
PORTO BELO,21388
ITAIOPOLIS,21669
HERVAL D'USTE,22606
CAPINZAL,22848
ORLEANS,22912
GAROPABA,23078
BALNEARIO PIARRAS,23147
SANTO AMARO DA IMPERATRIZ,23245
GUABIRUBA,23832
SAO LOURENO DO USTE,24076
CAPIVARI DE BAIXO,24871
ITUPORANGA,25086
MARAVILHA,25762
FORQUILHINHA,26793
SAO JOAQUIM,26952
XAXIM,28706
BARRA VELHA,29168
JOAABA,30118
SOMBRIO,30374
PENHA,32531
POMERODE,33447
BRAO DO NORTE,33450
PORTO UNIAO,35398
CAMPOS NOVOS,36244
FRAIBURGO,36443
SAO JOAO BATISTA,37424
ARAQUARI,38129
TIJUCAS,38407
CURITIBANOS,39745
SAO MIGUEL DO USTE,40482
RIO NEGRINHO,42302
TIMBO,44238
GUARAMIRIM,44819
IMBITUBA,44853
LAGUNA,45814
XANXER,50982
SAO FRANCISCO DO SUL,52721
VIDEIRA,53065
CANOINHAS,54401
MAFRA,56292
IARA,56421
ITAPEMA,65312
ARARANGUA,68228
BIGUAU,68481
INDAIAL,69425
GASPAR,69639
RIO DO SUL,71061
CONCORDIA,74641
CAADOR,78595
NAVEGANTES,81475
CAMBORIU,82989
